2024-08-16 16:20:18,388 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805418.3212 | End Time: 1723805418.3890 | Execution Time: 67.7066 ms |
2024-08-16 16:20:20,749 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805420.7146 | End Time: 1723805420.7499 | Execution Time: 35.3503 ms |
2024-08-16 16:20:27,306 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805427.2561 | End Time: 1723805427.3062 | Execution Time: 50.0538 ms |
2024-08-16 16:21:44,429 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805504.3767 | End Time: 1723805504.4294 | Execution Time: 52.6590 ms |
2024-08-16 16:22:03,122 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805523.0474 | End Time: 1723805523.1226 | Execution Time: 75.1784 ms |
2024-08-16 16:22:08,013 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805527.9411 | End Time: 1723805528.0137 | Execution Time: 72.6418 ms |
2024-08-16 16:22:10,115 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805530.0856 | End Time: 1723805530.1152 | Execution Time: 29.5563 ms |
2024-08-16 16:22:20,069 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805539.9966 | End Time: 1723805540.0699 | Execution Time: 73.3788 ms |
2024-08-16 16:22:21,141 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805541.1067 | End Time: 1723805541.1419 | Execution Time: 35.2066 ms |
2024-08-16 16:23:51,327 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805631.2070 | End Time: 1723805631.3277 | Execution Time: 120.7967 ms |
2024-08-16 16:26:03,580 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805763.5444 | End Time: 1723805763.5804 | Execution Time: 36.0153 ms |
2024-08-16 16:26:11,831 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805771.7744 | End Time: 1723805771.8313 | Execution Time: 56.8643 ms |
2024-08-16 16:27:36,200 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805856.0830 | End Time: 1723805856.2003 | Execution Time: 117.3325 ms |
